          0                 1                 2               3               4              5
   100.000000       68.8190536       46.1738892       36.6558151       39.5999451       50.0000000    
   100.000000       68.9972382       46.4479179       36.9159622       39.7555885       50.0000000    
   100.000000       69.1737061       46.7196541       37.1742172       39.9101639       50.0000000    
   100.000000       69.3484802       46.9891205       37.4305916       40.0636749       50.0000000    
   100.000000       69.5215759       47.2563362       37.6850929       40.2161293       50.0000000    
   100.000000       69.6930237       47.5213242       37.9377289       40.3675308       50.0000000    
   100.000000       69.8628464       47.7840996       38.1885071       40.5178871       50.0000000    
   100.000000       70.0310669       48.0446854       38.4374390       40.6672020       50.0000000    
   100.000000       70.1977005       48.3031006       38.6845360       40.8154793       50.0000000    
   100.000000       70.3627701       48.5593643       38.9298058       40.9627228       50.0000000    
   100.000000       70.5262985       48.8134918       39.1732597       41.1089401       50.0000000    
   100.000000       70.6883087       49.0655060       39.4149055       41.2541351       50.0000000    
   100.000000       70.8488159       49.3154259       39.6547546       41.3983116       50.0000000    
   100.000000       71.0078354       49.5632706       39.8928185       41.5414734       50.0000000    
   100.000000       71.1653900       49.8090553       40.1291046       41.6836281       50.0000000    
   100.000000       71.3215027       50.0527992       40.3636246       41.8247833       50.0000000    
   100.000000       71.4761810       50.2945213       40.5963860       41.9649391       50.0000000    
   100.000000       71.6294479       50.5342407       40.8274040       42.1041031       50.0000000    
   100.000000       71.7813187       50.7719727       41.0566864       42.2422791       50.0000000    
   100.000000       71.9318161       51.0077362       41.2842407       42.3794708       50.0000000    
   100.000000       72.0809479       51.2415466       41.5100822       42.5156860       50.0000000    
   100.000000       72.2287369       51.4734230       41.7342186       42.6509285       50.0000000    
   100.000000       72.3751984       51.7033844       41.9566612       42.7852058       50.0000000    
   100.000000       72.5203400       51.9314461       42.1774216       42.9185181       50.0000000    
   100.000000       72.6641846       52.1576233       42.3965073       43.0508728       50.0000000    
   100.000000       72.8067474       52.3819351       42.6139297       43.1822777       50.0000000    
   100.000000       72.9480362       52.6043968       42.8297005       43.3127327       50.0000000    
   100.000000       73.0880737       52.8250237       43.0438309       43.4422455       50.0000000    
   100.000000       73.2268677       53.0438309       43.2563286       43.5708199       50.0000000    
   100.000000       73.3644333       53.2608376       43.4672089       43.6984634       50.0000000    
   100.000000       73.5007858       53.4760590       43.6764793       43.8251801       50.0000000    
   100.000000       73.6359406       53.6895103       43.8841515       43.9509735       50.0000000    
   100.000000       73.7699051       53.9012070       44.0902328       44.0758514       50.0000000    
   100.000000       73.9027023       54.1111603       44.2947350       44.1998177       50.0000000    
   100.000000       74.0343323       54.3193893       44.4976730       44.3228760       50.0000000    
   100.000000       74.1648178       54.5259094       44.6990509       44.4450340       50.0000000    
   100.000000       74.2941666       54.7307358       44.8988838       44.5662956       50.0000000    
   100.000000       74.4223862       54.9338837       45.0971794       44.6866684       50.0000000    
   100.000000       74.5494995       55.1353645       45.2939529       44.8061523       50.0000000    
   100.000000       74.6755066       55.3351936       45.4892082       44.9247551       50.0000000    
   100.000000       74.8004227       55.5333862       45.6829605       45.0424843       50.0000000    
   100.000000       74.9242630       55.7299576       45.8752174       45.1593437       50.0000000    
   100.000000       75.0470352       55.9249191       46.0659904       45.2753372       50.0000000    
   100.000000       75.1687546       56.1182899       46.2552910       45.3904686       50.0000000    
   100.000000       75.2894287       56.3100777       46.4431267       45.5047455       50.0000000    
   100.000000       75.4090652       56.5002975       46.6295090       45.6181717       50.0000000    
   100.000000       75.5276794       56.6889648       46.8144493       45.7307549       50.0000000    
   100.000000       75.6452789       56.8760910       46.9979591       45.8424988       50.0000000    
   100.000000       75.7618790       57.0616913       47.1800461       45.9534073       50.0000000    
   100.000000       75.8774796       57.2457771       47.3607178       46.0634842       50.0000000    
   100.000000       75.9921036       57.4283638       47.5399895       46.1727371       50.0000000    
   100.000000       76.1057510       57.6094627       47.7178688       46.2811737       50.0000000    
   100.000000       76.2184372       57.7890854       47.8943634       46.3887939       50.0000000    
   100.000000       76.3301620       57.9672470       48.0694885       46.4956055       50.0000000    
   100.000000       76.4409409       58.1439590       48.2432480       46.6016159       50.0000000    
   100.000000       76.5507889       58.3192329       48.4156570       46.7068253       50.0000000    
   100.000000       76.6597061       58.4930801       48.5867233       46.8112411       50.0000000    
   100.000000       76.7677078       58.6655121       48.7564545       46.9148712       50.0000000    
   100.000000       76.8748016       58.8365440       48.9248619       47.0177155       50.0000000    
   100.000000       76.9809952       59.0061874       49.0919571       47.1197815       50.0000000    
   100.000000       77.0862961       59.1744537       49.2577477       47.2210770       50.0000000    
   100.000000       77.1907120       59.3413506       49.4222450       47.3216019       50.0000000    
   100.000000       77.2942505       59.5068932       49.5854568       47.4213638       50.0000000    
   100.000000       77.3969193       59.6710930       49.7473907       47.5203667       50.0000000    
   100.000000       77.4987335       59.8339615       49.9080582       47.6186180       50.0000000    
   100.000000       77.5996933       59.9955101       50.0674706       47.7161217       50.0000000    
   100.000000       77.6998138       60.1557503       50.2256355       47.8128815       50.0000000    
   100.000000       77.7990952       60.3146896       50.3825607       47.9089050       50.0000000    
   100.000000       77.8975525       60.4723434       50.5382576       48.0041924       50.0000000    
   100.000000       77.9951935       60.6287193       50.6927338       48.0987549       50.0000000    
   100.000000       78.0920181       60.7838326       50.8459969       48.1925926       50.0000000    
   100.000000       78.1880417       60.9376869       50.9980583       48.2857132       50.0000000    
   100.000000       78.2832642       61.0902977       51.1489296       48.3781204       50.0000000    
   100.000000       78.3777008       61.2416763       51.2986145       48.4698181       50.0000000    
   100.000000       78.4713516       61.3918304       51.4471245       48.5608101       50.0000000    
   100.000000       78.5642242       61.5407715       51.5944672       48.6511040       50.0000000    
   100.000000       78.6563339       61.6885071       51.7406540       48.7407036       50.0000000    
   100.000000       78.7476807       61.8350487       51.8856926       48.8296165       50.0000000    
   100.000000       78.8382721       61.9804077       52.0295906       48.9178429       50.0000000    
   100.000000       78.9281158       62.1245918       52.1723557       49.0053902       50.0000000    
   100.000000       79.0172195       62.2676125       52.3139992       49.0922623       50.0000000    
   100.000000       79.1055832       62.4094772       52.4545288       49.1784668       50.0000000    
   100.000000       79.1932220       62.5501976       52.5939522       49.2640038       50.0000000    
   100.000000       79.2801437       62.6897850       52.7322769       49.3488808       50.0000000    
   100.000000       79.3663483       62.8282471       52.8695107       49.4331017       50.0000000    
   100.000000       79.4518433       62.9655914       53.0056648       49.5166702       50.0000000    
   100.000000       79.5366364       63.1018295       53.1407471       49.5995941       50.0000000    
   100.000000       79.6207352       63.2369690       53.2747612       49.6818733       50.0000000    
   100.000000       79.7041397       63.3710175       53.4077225       49.7635155       50.0000000    
